City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
91,Dutse,NG,2022-08-09 23:36:42,11.7594,9.3392,75.43,77,21,8.12
92,Lata,PT,2022-08-09 23:36:42,40.1629,-8.3327,63.09,90,1,2.93
93,Guararema,BR,2022-08-09 23:37:43,-23.415,-46.035,64.54,98,100,3.33
94,Kirovsk,UA,2022-08-09 23:37:43,48.6375,38.6428,71.2,35,1,4.38
95,Chuy,UY,2022-08-09 23:37:43,-33.6971,-53.4616,47.5,83,4,8.05
96,Okakarara,NA,2022-08-09 23:37:43,-20.5833,17.4333,59.47,23,0,3.62
97,Gaffney,US,2022-08-09 23:37:44,35.0718,-81.6498,84.2,65,88,4.54
98,Klaksvik,FO,2022-08-09 23:37:44,62.2266,-6.589,54.52,96,100,24.61
99,Znamenskoye,RU,2022-08-09 23:37:45,57.1281,73.8282,59.45,81,71,4.03
100,Mao,ES,2022-08-09 23:35:02,39.8885,4.2658,77.56,73,0,2.3
101,Merke,KZ,2022-08-09 23:37:45,42.8728,73.1786,67.91,52,62,5.12
102,Portland,US,2022-08-09 23:37:03,45.5234,-122.6762,91.99,49,20,5.75
103,Bredasdorp,ZA,2022-08-09 23:37:46,-34.5322,20.0403,50.49,83,90,8.66
104,Sitka,US,2022-08-09 23:37:46,57.0531,-135.33,60.69,63,100,13.8
105,Tahoua,NE,2022-08-09 23:37:46,14.8888,5.2692,84.15,54,8,7.16
106,Saskylakh,RU,2022-08-09 23:37:47,71.9167,114.0833,53.08,91,98,3.71
107,Sayhat,SA,2022-08-09 23:37:47,26.4852,50.0405,91.62,21,9,16.6
108,Vaini,TO,2022-08-09 23:37:47,-21.2,-175.2,78.96,94,75,13.8
109,Melo,UY,2022-08-09 23:36:54,-32.3667,-54.1833,44.42,87,59,10.4
110,Peace River,CA,2022-08-09 23:37:48,56.2501,-117.286,79.11,27,20,8.05
111,Qaanaaq,GL,2022-08-09 23:37:48,77.484,-69.3632,36.88,59,0,2.3
112,Flinders,AU,2022-08-09 23:37:48,-34.5833,150.8552,57.18,72,100,7.0
113,Carutapera,BR,2022-08-09 23:37:48,-1.195,-46.02,76.96,88,10,7.76
114,Kodiak,US,2022-08-09 23:35:58,57.79,-152.4072,53.11,94,100,6.91
115,Butaritari,KI,2022-08-09 23:37:49,3.0707,172.7902,81.82,75,49,14.43
116,Gat,IL,2022-08-09 23:35:02,31.61,34.7642,79.48,100,0,2.24
117,Lebu,CL,2022-08-09 23:37:49,-37.6167,-73.65,48.02,79,100,10.54
118,Nouadhibou,MR,2022-08-09 23:37:50,20.931,-17.0347,73.38,83,4,16.11
119,New Norfolk,AU,2022-08-09 23:37:50,-42.7826,147.0587,45.91,83,2,2.75
120,Salalah,OM,2022-08-09 23:37:50,17.0151,54.0924,77.09,94,100,2.3
121,Santa Fe,AR,2022-08-09 23:37:51,-31.6333,-60.7,55.99,77,73,1.01
122,Honiara,SB,2022-08-09 23:37:51,-9.4333,159.95,85.93,64,75,3.18
123,Kahului,US,2022-08-09 23:33:13,20.8947,-156.47,89.62,60,40,28.77
124,Ponta Do Sol,PT,2022-08-09 23:37:52,32.6667,-17.1,71.71,94,24,4.18
125,Norman Wells,CA,2022-08-09 23:37:52,65.282,-126.8329,73.44,40,75,12.66
126,Moose Factory,CA,2022-08-09 23:37:52,51.2585,-80.6094,80.6,44,0,20.71
127,Olafsvik,IS,2022-08-09 23:37:53,64.8945,-23.7142,50.43,96,100,19.82
128,Moanda,GA,2022-08-09 23:37:53,-1.5575,13.2178,77.67,52,56,3.44
129,Diu,IN,2022-08-09 23:37:53,20.7141,70.9822,79.74,91,89,20.13
130,Barrow,US,2022-08-09 23:37:53,71.2906,-156.7887,42.82,81,100,16.11
131,Foumban,CM,2022-08-09 23:37:54,5.7291,10.9001,63.1,96,97,2.57
132,Luderitz,NA,2022-08-09 23:37:54,-26.6481,15.1594,54.27,91,1,10.67
133,Pirganj,BD,2022-08-09 23:37:55,25.8523,88.3618,78.66,85,86,14.36
134,Saint George,US,2022-08-09 23:33:14,37.1041,-113.5841,93.79,33,20,16.11
135,Los Llanos De Aridane,ES,2022-08-09 23:37:55,28.6585,-17.9182,70.12,90,0,12.66
136,Turukhansk,RU,2022-08-09 23:37:55,65.8167,87.9833,54.99,76,34,12.59
137,Oranjemund,NA,2022-08-09 23:37:56,-28.55,16.4333,54.1,94,53,4.54
